Frame id: 76731, timestamp: 89393798738, hands: 0, fingers: 0
Frame id: 76732, timestamp: 89393807401, hands: 0, fingers: 0
Frame id: 76733, timestamp: 89393816097, hands: 0, fingers: 0
Frame id: 76734, timestamp: 89393824762, hands: 0, fingers: 0
Frame id: 76735, timestamp: 89393833448, hands: 0, fingers: 0
Frame id: 76736, timestamp: 89393842027, hands: 0, fingers: 0
Frame id: 76737, timestamp: 89393850769, hands: 0, fingers: 0
Frame id: 76738, timestamp: 89393859462, hands: 0, fingers: 0
Frame id: 76739, timestamp: 89393868109, hands: 0, fingers: 0
Frame id: 76740, timestamp: 89393876782, hands: 0, fingers: 0
Frame id: 76741, timestamp: 89393885497, hands: 0, fingers: 0
Frame id: 76742, timestamp: 89393894263, hands: 0, fingers: 0
Frame id: 76743, timestamp: 89393902799, hands: 0, fingers: 0
Frame id: 76744, timestamp: 89393911529, hands: 0, fingers: 0
Frame id: 76745, timestamp: 89393920215, hands: 0, fingers: 0
Frame id: 76746, timestamp: 89393928784, hands: 0, fingers: 0
Frame id: 76747, timestamp: 89393937534, hands: 0, fingers: 0
Frame id: 76748, timestamp: 89393946183, hands: 0, fingers: 0
Frame id: 76749, timestamp: 89393954836, hands: 0, fingers: 0
Frame id: 76750, timestamp: 89393963464, hands: 0, fingers: 0
Frame id: 76751, timestamp: 89393972191, hands: 0, fingers: 0
Frame id: 76752, timestamp: 89393980841, hands: 0, fingers: 0
Frame id: 76753, timestamp: 89393989529, hands: 0, fingers: 0
Frame id: 76754, timestamp: 89393998203, hands: 0, fingers: 0
Frame id: 76755, timestamp: 89394006864, hands: 0, fingers: 0
Frame id: 76756, timestamp: 89394015532, hands: 0, fingers: 0
Frame id: 76757, timestamp: 89394024230, hands: 0, fingers: 0
Frame id: 76758, timestamp: 89394032844, hands: 0, fingers: 0
Frame id: 76759, timestamp: 89394041487, hands: 0, fingers: 0
Frame id: 76760, timestamp: 89394050236, hands: 0, fingers: 0
Frame id: 76761, timestamp: 89394058916, hands: 0, fingers: 0
Frame id: 76762, timestamp: 89394067570, hands: 0, fingers: 0
Frame id: 76763, timestamp: 89394076231, hands: 0, fingers: 0
Frame id: 76764, timestamp: 89394084896, hands: 0, fingers: 0
Frame id: 76765, timestamp: 89394093591, hands: 0, fingers: 0
Frame id: 76766, timestamp: 89394102209, hands: 0, fingers: 0
Frame id: 76767, timestamp: 89394110867, hands: 0, fingers: 0
Frame id: 76768, timestamp: 89394119609, hands: 0, fingers: 0
Frame id: 76769, timestamp: 89394128314, hands: 0, fingers: 0
Frame id: 76770, timestamp: 89394136941, hands: 0, fingers: 0
Frame id: 76771, timestamp: 89394145658, hands: 0, fingers: 0
Frame id: 76772, timestamp: 89394154309, hands: 0, fingers: 0
Frame id: 76773, timestamp: 89394162893, hands: 0, fingers: 0
Frame id: 76774, timestamp: 89394171612, hands: 0, fingers: 0
Frame id: 76775, timestamp: 89394180263, hands: 0, fingers: 0
Frame id: 76776, timestamp: 89394188991, hands: 0, fingers: 0
Frame id: 76777, timestamp: 89394197654, hands: 0, fingers: 0
Frame id: 76778, timestamp: 89394206252, hands: 0, fingers: 0
Frame id: 76779, timestamp: 89394215081, hands: 0, fingers: 0
Frame id: 76780, timestamp: 89394223738, hands: 0, fingers: 0
Frame id: 76781, timestamp: 89394232336, hands: 0, fingers: 0
Frame id: 76782, timestamp: 89394241008, hands: 0, fingers: 0
Frame id: 76783, timestamp: 89394249757, hands: 0, fingers: 0
Frame id: 76784, timestamp: 89394258411, hands: 0, fingers: 0
Frame id: 76785, timestamp: 89394266969, hands: 0, fingers: 0
Frame id: 76786, timestamp: 89394275682, hands: 0, fingers: 0
